chrom,pos,variant_id,effect_allele,beta,p_value
3,172416535,rs73173358,t,-0.1807,6.599e-06
20,17313401,rs149870133,a,-0.1654,6.599e-06
6,140246321,rs661063,a,0.071,6.6e-06
20,42913652,rs2868088,a,-0.0688,6.65e-06
13,33624502,rs9563121,t,-0.0717,6.716e-06
3,12277845,rs17036101,a,-0.1581,6.735e-06
3,23191666,rs9831312,a,-0.0776,6.757e-06
12,66239111,rs2612059,a,-0.0695,6.765e-06
11,5481649,rs28846177,c,1.2779,6.816e-06
10,114773068,rs10885404,t,-0.0985,6.826e-06
8,94753674,rs7006887,t,0.0715,6.847e-06
6,160776653,rs673736,a,-0.0755,6.857e-06
20,42907542,rs1884607,a,-0.0686,6.878e-06
1,92652691,rs71510742,t,0.2634,6.897e-06
6,31299163,rs12208931,t,-0.0892,6.904e-06
20,42911322,rs2208064,a,-0.0686,6.908e-06
4,92589910,rs10516898,a,0.1029,6.959e-06
1,92971313,rs10782922,a,0.2551,6.963e-06
8,12648020,rs62488467,a,0.0816,6.966e-06
10,12242326,rs12248718,a,-0.0777,6.985e-06
3,12274592,rs13065423,a,-0.157,6.991e-06
4,92458023,rs41335045,t,0.0978,6.997e-06
6,20658012,rs4710940,a,-0.0739,7.006e-06
6,31305966,rs28895003,a,-0.0938,7.033e-06
6,28089699,rs186625875,a,-0.0744,7.08e-06
22,22373577,rs117596380,a,-0.2328,7.087e-06
15,65923746,rs553979438,c,-0.0723,7.09e-06
20,42906438,rs6017310,a,-0.0685,7.114e-06
2,227123439,rs115578525,t,0.0783,7.124e-06
6,27986340,rs72848791,a,-0.0737,7.138e-06
4,92309614,rs10856886,c,0.0769,7.158e-06
7,15063379,rs80005921,a,-0.0697,7.17e-06
3,12274961,rs13088452,t,0.1572,7.204e-06
4,92460536,rs76926425,c,0.0976,7.22e-06
6,20639409,rs538779234,t,0.0812,7.239e-06
4,92451174,rs79527675,t,0.0981,7.302e-06
1,93045977,rs17380378,t,-0.2533,7.353e-06
11,17421886,rs2074310,t,0.0706,7.359e-06
6,140295358,rs1361248,a,0.0708,7.365e-06
4,153519246,rs6837634,a,-0.07,7.38e-06
20,42907146,rs12480654,c,-0.0684,7.385e-06
4,92463533,rs143770014,a,0.0976,7.387e-06
6,28001610,rs149942,t,0.0734,7.388e-06
3,23466255,rs7628372,a,0.0834,7.438e-06
6,28002853,rs149945,t,0.0733,7.449e-06
6,31149520,rs564161097,a,0.1086,7.477e-06
6,28001033,rs149941,t,0.0733,7.493e-06
2,128634422,rs182425940,t,-1.0477,7.508e-06
6,160770360,rs539298,a,0.0703,7.518e-06
4,92497800,rs77753790,t,0.0988,7.524e-06
4,92462037,rs56197903,a,0.0974,7.537e-06
4,92461644,rs532612264,c,-0.0974,7.559e-06
11,2193840,rs455003,a,0.0866,7.56e-06
2,165610498,rs6757623,t,-0.0687,7.592e-06
12,26633798,rs11048547,a,0.1541,7.603e-06
11,17384542,rs7104181,a,-0.0693,7.61e-06
6,160771363,rs505870,a,-0.0703,7.633e-06
6,127028168,rs12189589,a,-0.1158,7.665e-06
4,92330203,rs4301075,a,0.077,7.666e-06
10,94393961,rs189319611,t,0.0828,7.681e-06
13,33622180,rs2772365,a,0.0712,7.7e-06
8,94872106,rs4541875,t,-0.0695,7.7e-06
14,60688243,rs72720108,a,-0.1675,7.725e-06
4,92461088,rs114666885,a,-0.0974,7.734e-06
4,92471280,rs112314449,a,-0.0974,7.742e-06
8,94872473,rs4734254,t,-0.0694,7.745e-06
6,160775578,rs518295,t,-0.0703,7.772e-06
4,92330982,rs1922220,t,0.0769,7.788e-06
6,160775510,rs695174,a,-0.0703,7.798e-06
6,140237606,rs592755,a,-0.071,7.824e-06
6,20724558,rs12111351,t,-0.0764,7.83e-06
2,227163642,rs192879632,t,0.0775,7.83e-06
13,33617514,rs9596676,a,-0.0896,7.839e-06
3,12290898,rs1596417,a,0.1306,7.87e-06
2,52562470,rs963964,t,-0.0735,7.91e-06
20,42924688,rs2004265,t,0.0682,7.915e-06
20,42916103,rs2144904,a,0.0682,7.92e-06
11,5117264,rs372215111,t,-0.799,7.93e-06
4,92471330,rs79556846,a,0.0973,7.951e-06
11,72455885,rs12272109,t,-0.0903,7.959e-06
5,133865452,rs329124,a,-0.0696,7.968e-06
11,92719715,rs4612758,t,-0.0725,7.984e-06
6,20648762,rs9460540,a,0.0679,7.996e-06
12,26618222,rs11048539,a,-0.1537,8e-06
6,31216329,rs3134754,a,-0.0814,8.015e-06
4,92472211,rs77843048,a,0.0976,8.017e-06
13,33622223,rs2772366,a,0.0711,8.02e-06
6,31219133,rs3130429,a,-0.0814,8.056e-06
6,31266977,rs2524071,a,0.1138,8.077e-06
11,92720734,rs7930067,t,-0.0724,8.137e-06
12,121435181,rs3213547,a,0.1163,8.138e-06
2,227128917,rs139690280,a,0.0776,8.214e-06
8,12648085,rs73206307,a,-0.081,8.229e-06
6,160769811,rs668871,t,-0.0701,8.246e-06
4,153517741,rs10014477,a,-0.0697,8.254e-06
3,23191019,rs6793730,a,0.0769,8.277e-06
8,94871757,rs4541873,t,-0.0692,8.286e-06
15,65990596,rs7175692,a,0.0716,8.297e-06
8,94872389,rs4236813,a,-0.0692,8.312e-06
4,92449776,rs4605615,t,0.0975,8.351e-06
20,42920266,rs6065715,t,0.068,8.358e-06
18,578218,rs502860,t,0.0691,8.362e-06
3,23258571,rs1495135,a,0.0697,8.365e-06
6,160775652,rs519118,t,0.0701,8.379e-06
20,42918757,rs112287317,a,0.068,8.384e-06
3,23268316,rs117859286,t,0.1072,8.39e-06
20,42920278,rs6073397,a,-0.068,8.407e-06
3,185550565,rs77494444,a,0.0738,8.419e-06
20,42925609,rs141526775,t,0.068,8.435e-06
2,227125416,rs74846838,a,0.081,8.438e-06
6,31209860,rs3134767,t,-0.0811,8.57e-06
6,160770312,rs474513,a,0.0699,8.574e-06
2,227133529,rs2396315,a,-0.0827,8.574e-06
2,227123584,rs2943658,a,-0.0809,8.574e-06
1,20725781,rs551662168,a,0.0691,8.575e-06
1,92531452,rs76174630,t,-0.2635,8.586e-06
3,12290513,rs7628899,a,-0.1301,8.612e-06
5,172720095,rs10065005,t,-0.0726,8.622e-06
3,12288288,rs17036130,a,-0.1302,8.634e-06
6,160770543,rs655185,a,0.0699,8.646e-06
6,160770552,rs541091,a,-0.0699,8.652e-06
5,122696468,rs17150367,c,-0.1118,8.666e-06
9,82477823,rs7018736,c,-0.0751,8.687e-06
8,12623463,rs62486442,a,0.079,8.696e-06
6,31213811,rs2394899,a,0.081,8.696e-06
17,36101633,rs554697103,t,-0.0744,8.7e-06
6,160774838,rs416879,a,0.0699,8.706e-06
7,15066045,rs565422907,a,0.0733,8.722e-06
2,52562411,rs531453411,a,-0.0731,8.724e-06
3,185416644,rs9832412,c,-0.0729,8.734e-06
10,12340429,rs531315003,a,-0.0866,8.74e-06
4,92311625,rs6820807,a,0.0763,8.742e-06
6,160771810,rs509707,t,-0.0698,8.753e-06
6,160771766,rs639426,a,-0.0698,8.754e-06
5,14771247,rs547696028,a,0.0786,8.786e-06
6,160774486,rs487152,a,-0.0698,8.786e-06
5,122712563,rs10519724,a,-0.1119,8.799e-06
3,12296346,rs35577339,a,-0.1295,8.813e-06
6,160772133,rs637614,t,0.0698,8.834e-06
6,160767905,rs520829,t,0.07,8.849e-06
6,160772842,rs539958,t,-0.0698,8.895e-06
16,75233867,rs8056223,t,0.1948,8.897e-06
6,160774430,rs486339,c,0.0698,8.901e-06
10,94367867,rs10882087,a,0.0748,8.903e-06
5,24449653,rs138313776,t,1.2969,8.908e-06
20,42926958,rs11086922,a,-0.0678,8.916e-06
9,139235415,rs181219303,t,-0.0953,8.93e-06
13,31772946,rs9599008,c,-0.0702,8.95e-06
6,31213902,rs3095245,t,-0.0809,8.961e-06
9,82479380,rs62566907,a,-0.0757,8.961e-06
2,227142038,rs550785080,t,0.0802,8.976e-06
20,42926163,rs545056202,c,0.0678,8.985e-06
20,42926102,rs6073398,t,-0.0678,8.993e-06
5,133861756,rs329120,t,0.0692,8.994e-06
9,4295583,rs10758594,a,0.0675,9.008e-06
6,28007357,rs156734,a,0.0727,9.009e-06
4,92289176,rs72656155,t,-0.0768,9.01e-06
15,66003199,rs6494534,c,-0.0716,9.013e-06
15,91507495,rs559447695,a,0.0853,9.024e-06
15,66008087,rs12161932,a,-0.0716,9.029e-06
15,66010886,rs2060454,t,-0.0717,9.035e-06
8,94871640,rs151126496,a,0.0689,9.043e-06
3,12297153,rs35252428,t,-0.1293,9.052e-06
20,42924921,rs6031503,a,-0.0678,9.054e-06
11,92700287,rs7945617,t,-0.069,9.064e-06
15,65991828,rs16948947,t,-0.0716,9.077e-06
3,12291502,rs34881099,a,-0.1297,9.083e-06
6,31316391,rs114199487,a,0.0847,9.083e-06
17,78875669,rs9909086,a,-0.069,9.088e-06
6,160770918,rs501470,t,0.0697,9.091e-06
6,31316553,rs9265990,t,0.0847,9.105e-06
15,65981430,rs28523581,t,0.0716,9.108e-06
6,31291740,rs9265267,a,0.092,9.146e-06
15,66012636,rs28733369,a,0.0716,9.169e-06
20,42934021,rs4812817,a,-0.0677,9.178e-06
15,77493174,rs557553493,t,0.0676,9.182e-06
20,42876434,rs34164558,t,-0.0681,9.203e-06
6,31264598,rs28732117,a,-0.0897,9.209e-06
2,121447228,rs10864862,a,-0.1938,9.211e-06
3,23190832,rs9863600,a,0.0765,9.229e-06
20,42923299,rs11907319,t,-0.0677,9.234e-06
11,92726584,rs9666388,t,-0.0751,9.259e-06
15,66010917,rs12592786,c,0.0716,9.27e-06
7,28189411,rs1635852,t,0.0743,9.298e-06
15,66011630,rs2060455,a,0.0716,9.3e-06
6,31214557,rs73405036,t,0.0808,9.302e-06
6,31213583,rs2394898,t,-0.0851,9.303e-06
10,114810784,rs117070049,t,0.2562,9.305e-06
2,165532454,rs10187501,a,0.083,9.306e-06
11,92724320,rs78064629,a,0.072,9.312e-06
7,15048611,rs6976086,t,0.0686,9.316e-06
20,42928394,rs550143987,t,0.0677,9.322e-06
11,92719207,rs4611171,t,-0.072,9.322e-06
3,12296513,rs71304095,a,-0.1293,9.328e-06
22,22373391,rs412274,t,0.1967,9.376e-06
3,186666084,rs3887925,a,-0.0801,9.458e-06
4,92478377,rs77798247,t,0.0966,9.471e-06
4,92478282,rs185900452,a,-0.0972,9.485e-06
13,31811688,rs561826238,t,-0.0957,9.502e-06
2,227157209,rs2713549,a,-0.08,9.541e-06
6,31105005,rs3130572,a,0.0977,9.543e-06
9,82472825,rs17199714,a,-0.0749,9.56e-06
5,133864599,rs329122,a,0.069,9.561e-06
6,20660365,rs7749083,t,-0.0728,9.571e-06
6,31317857,rs6925809,t,-0.0799,9.59e-06
20,42873273,rs6017301,a,-0.0678,9.607e-06
12,89070636,rs7296194,a,-0.2572,9.628e-06
6,31264619,rs115964138,a,0.0895,9.63e-06
13,31767225,rs9598939,t,-0.0771,9.651e-06
7,15047637,rs7784091,a,-0.0686,9.653e-06
20,42925636,rs73613472,c,-0.091,9.664e-06
13,33620320,rs9536297,t,-0.0884,9.666e-06
5,122718136,rs17150402,a,0.1148,9.683e-06
2,227164437,rs2673136,t,0.0802,9.736e-06
2,227164504,rs2713559,c,-0.0802,9.749e-06
13,33611365,rs8001148,a,-0.087,9.75e-06
6,20660690,rs146764358,a,0.0728,9.769e-06
4,92549413,rs190780430,t,-0.1064,9.835e-06
8,12647428,rs73206306,a,0.0802,9.852e-06
6,31317577,rs111789237,t,0.0843,9.865e-06
20,42930096,rs6065716,a,-0.0675,9.877e-06
13,31776418,rs542133086,t,0.0701,9.879e-06
15,30255645,rs67874101,a,-0.082,9.893e-06
3,66338612,rs782721,a,0.0673,9.927e-06
8,118196803,rs1578978,a,-0.0688,9.95e-06
6,31296369,rs116576188,a,-0.0963,9.968e-06
5,122711168,rs10478580,t,-0.1111,9.983e-06
2,227137125,rs534609472,t,-0.0801,9.984e-06
6,31093190,rs377214793,a,0.0924,1.001e-05
15,65906467,rs531531074,t,-0.0713,1.001e-05
3,186674138,rs6444187,c,-0.0677,1.004e-05
6,31265057,rs2524134,a,0.0834,1.007e-05
3,185423494,rs9831593,a,-0.0723,1.007e-05
6,31313632,rs28380904,t,0.0908,1.008e-05
8,94871529,rs4392870,t,-0.0686,1.011e-05
19,17742236,rs7508598,a,0.1081,1.012e-05
4,92484361,rs537789993,a,-0.0965,1.012e-05
4,10761039,rs77481230,a,0.2544,1.012e-05
6,20660693,rs10946397,a,-0.0726,1.013e-05
8,94823563,rs62525192,t,-0.076,1.013e-05
6,31269029,rs2524135,a,0.0833,1.013e-05
13,33613579,rs554278326,a,0.0868,1.014e-05
6,31271936,rs9264878,t,0.0833,1.018e-05
3,23264601,rs150141465,a,-0.069,1.018e-05
9,22128180,rs12379111,c,0.1481,1.02e-05
20,42933720,rs13045189,a,-0.0673,1.022e-05
5,122675214,rs74790763,t,-0.1119,1.025e-05
21,40266673,rs563643800,a,-0.5531,1.027e-05
9,96137759,rs10992716,a,-0.0997,1.027e-05
6,160769423,rs555754,a,-0.0694,1.028e-05
15,65992378,rs8038209,t,0.0712,1.028e-05
4,92585443,rs59926592,c,0.1007,1.028e-05
2,165562893,rs13017482,t,0.0766,1.029e-05
6,28011551,rs202908,c,0.0723,1.029e-05
11,92721787,rs4406791,a,-0.0715,1.034e-05
9,96137408,rs12003673,t,0.0997,1.034e-05
11,17385224,rs560188414,a,-0.0683,1.034e-05
20,42892250,rs117649618,a,-0.0674,1.037e-05
8,12657461,rs11783010,a,0.0838,1.037e-05
1,77587219,rs114964941,t,-0.6038,1.038e-05
5,122677252,rs17150337,a,-0.1113,1.043e-05
20,42903265,rs573574415,t,0.0967,1.045e-05
10,114757314,rs35676242,a,0.295,1.046e-05
15,65940231,rs2414882,a,0.071,1.047e-05
4,92283969,rs12640578,t,0.0759,1.048e-05
2,227136020,rs571175278,t,0.08,1.05e-05
20,42928510,rs532632403,a,0.0674,1.052e-05
15,66011325,rs28613841,t,-0.0711,1.053e-05
6,140301947,rs9403133,a,0.0696,1.054e-05
8,94713988,rs7006499,a,-0.071,1.054e-05
2,227133220,rs188564306,t,0.0799,1.055e-05
13,31773625,rs9599017,t,-0.0695,1.055e-05
6,28142276,rs8180562,t,-0.0729,1.055e-05
15,66016234,rs12902500,t,0.0711,1.056e-05
15,91520287,rs72759311,a,0.0839,1.057e-05
2,148309319,rs11691040,t,-0.071,1.059e-05
15,65995082,rs16948959,c,0.0712,1.059e-05
11,72428038,rs77756118,t,0.0885,1.06e-05
16,6387804,rs536738045,a,0.3972,1.061e-05
6,31318482,rs28579725,t,-0.0843,1.062e-05
2,148307077,rs7588634,a,-0.071,1.063e-05
5,14768806,rs76549217,a,-0.0741,1.064e-05
6,20634127,rs56241903,t,-0.0795,1.067e-05
20,42892769,rs6037812,a,0.0672,1.068e-05
2,227136202,rs1567973,a,-0.0799,1.07e-05
15,77404160,rs12901370,c,0.0671,1.072e-05
2,148309370,rs11674017,a,-0.071,1.073e-05
6,31290885,rs28853326,a,-0.0909,1.073e-05
2,213816806,rs372341363,a,0.4139,1.074e-05
6,31290884,rs528125150,t,0.0909,1.074e-05
9,139246766,rs138406802,a,-0.0933,1.076e-05
2,148307779,rs17673675,t,-0.071,1.079e-05
6,20633907,rs9465845,a,0.0795,1.079e-05
6,160774459,rs487060,t,-0.0692,1.079e-05
5,174609151,rs4146192,a,0.067,1.08e-05
17,36102035,rs72830495,c,-0.0738,1.08e-05
11,92717405,rs540929233,a,0.0715,1.081e-05
3,66338718,rs782722,a,0.067,1.085e-05
6,31318488,rs28629780,t,-0.0842,1.085e-05
2,148308170,rs10208724,a,-0.071,1.085e-05
2,27635463,rs1728918,a,-0.0976,1.086e-05
6,160771465,rs506823,a,-0.0691,1.088e-05
4,92479849,rs78490980,t,0.096,1.088e-05
15,65996084,rs28368718,t,0.0711,1.089e-05
15,65994602,rs28377658,a,0.0711,1.09e-05
2,148307753,rs17724612,a,-0.0709,1.09e-05
5,133861663,rs329118,t,0.0686,1.091e-05
3,23190494,rs368083812,a,-0.076,1.091e-05
2,148308407,rs10208983,a,-0.0709,1.091e-05
2,148310160,rs7576755,t,-0.0709,1.093e-05
12,26613641,rs11048530,a,0.1536,1.093e-05
6,20634428,rs9465846,t,0.0794,1.096e-05
2,148307818,rs17673688,a,-0.0709,1.097e-05
13,33624931,rs7987923,a,0.0877,1.1e-05
12,121430329,rs55961602,t,-0.1148,1.108e-05
4,92484927,rs75838987,t,0.0958,1.109e-05
8,94869853,rs4327832,t,-0.0682,1.111e-05
3,12274994,rs13066157,a,-0.152,1.115e-05
2,148908117,rs552227842,t,0.1023,1.115e-05
9,82473012,rs12682671,t,-0.0735,1.116e-05
20,42892151,rs4810415,c,-0.0671,1.117e-05
15,91506422,rs8028409,a,-0.0848,1.119e-05
3,185286494,rs72497187,t,-0.0759,1.123e-05
20,42891465,rs548626208,t,0.0671,1.125e-05
12,89017335,rs182460680,a,0.2096,1.126e-05
6,20662113,rs6456370,a,-0.0722,1.126e-05
3,185411616,rs28485641,c,-0.0672,1.126e-05
3,186664728,rs374263669,a,-0.0798,1.129e-05
7,15047280,rs10255907,c,-0.0681,1.13e-05
9,81881830,rs545545108,a,0.1064,1.134e-05
20,42893871,rs6031488,a,-0.0671,1.135e-05
3,12041456,rs150924902,a,-0.3235,1.136e-05
2,148298999,rs77318766,a,0.0708,1.137e-05
2,227141248,rs2673131,a,-0.0796,1.139e-05
11,92718127,rs12285500,c,0.0713,1.142e-05
20,42893903,rs6031489,t,-0.067,1.144e-05
15,77591007,rs62008452,a,-0.0667,1.144e-05
13,33610711,rs7982726,t,-0.0863,1.145e-05
6,31271018,rs13216197,t,-0.0827,1.15e-05
2,148573581,rs12373822,a,-0.0756,1.15e-05
2,227141768,rs2713541,a,-0.0796,1.15e-05
2,95534536,rs530699540,a,0.508,1.151e-05
9,4282942,rs3892354,t,0.0675,1.153e-05
20,42896460,rs12481690,a,-0.0669,1.155e-05
4,92290447,rs554934578,a,0.0759,1.16e-05
8,94868478,rs4374955,t,-0.0693,1.16e-05
3,58364650,rs7432739,t,-0.0721,1.161e-05
4,92482342,rs74358666,a,0.0963,1.163e-05
4,92479494,rs17018614,t,0.0957,1.165e-05
8,94868590,rs4531022,t,-0.0679,1.166e-05
11,69480191,rs11263527,a,0.1432,1.166e-05
11,72433098,rs1552224,a,0.0882,1.167e-05
6,31312625,rs28732131,t,-0.0837,1.168e-05
6,80850814,rs12209419,t,0.074,1.169e-05
3,58469164,rs7612773,t,-0.0688,1.169e-05
6,31244711,rs12209312,a,-0.0837,1.17e-05
6,31095003,rs181446876,c,0.0928,1.17e-05
11,69489422,rs562444055,a,-0.154,1.173e-05
2,148843060,rs1234411,a,0.1021,1.174e-05
4,153518247,rs4696136,t,-0.0685,1.176e-05
2,148303131,rs1550320,a,-0.0706,1.18e-05
15,77584498,rs528953324,t,-0.0666,1.18e-05
15,77510585,rs4886856,a,-0.0668,1.181e-05
20,42889375,rs4331575,t,-0.0669,1.183e-05
13,33613203,rs564965834,a,0.0861,1.183e-05
8,12645002,rs12056431,t,0.0789,1.184e-05
3,12317310,rs11715234,a,-0.1115,1.185e-05
2,27752463,rs6753534,a,0.084,1.186e-05
6,31264246,rs28894986,t,-0.0827,1.187e-05
2,148306504,rs6430197,t,-0.0706,1.188e-05
15,77515319,rs559724966,t,0.0667,1.189e-05
2,148304254,rs551477985,a,0.0706,1.19e-05
13,88442089,rs61025705,t,0.2032,1.194e-05
2,227117850,rs62188791,t,-0.0677,1.195e-05
5,176041364,rs1532033,c,0.0689,1.195e-05
15,65979132,rs12899659,a,0.0707,1.195e-05
3,58469000,rs67644593,a,-0.0687,1.196e-05
13,33612826,rs9526990,a,-0.0861,1.198e-05
6,31262924,rs116654277,t,0.0827,1.198e-05
6,31264234,rs116165038,a,0.0827,1.199e-05
6,20631545,rs2328528,a,-0.079,1.2e-05
3,23432567,rs533089239,a,-0.0813,1.201e-05
6,140241272,rs627705,a,0.0686,1.203e-05
4,92466255,rs55759944,t,-0.0957,1.205e-05
12,121473054,rs113017155,t,0.1144,1.205e-05
20,42937103,rs13037113,a,-0.0671,1.206e-05
18,12000677,rs620705,t,-0.0929,1.208e-05
8,94869568,rs4534103,t,-0.0679,1.208e-05
1,16016564,rs12076557,t,-0.0996,1.21e-05
5,133870005,rs11956902,t,0.1008,1.21e-05
6,140228919,rs633026,a,-0.0685,1.212e-05
15,77507021,rs377493187,t,0.0667,1.214e-05
6,31307176,rs28895006,c,-0.0863,1.214e-05
2,148303317,rs13390421,t,0.0705,1.215e-05
2,227176093,rs2673147,a,0.0793,1.215e-05
6,31244082,rs9394048,t,0.0836,1.217e-05
8,138627220,rs149169140,c,0.6586,1.218e-05
3,58469026,rs557119123,c,0.0687,1.219e-05
2,227140486,rs2713540,a,-0.0793,1.226e-05
1,92950515,rs1359490,a,0.2492,1.226e-05
6,31263216,rs9357123,a,0.0825,1.226e-05
4,153410390,rs10021011,a,-0.0678,1.226e-05
8,94870343,rs6471403,a,-0.0679,1.226e-05
6,138855975,rs9376353,a,0.0673,1.228e-05
2,227145757,rs2673134,a,-0.0762,1.232e-05
4,92481703,rs78622285,t,0.096,1.232e-05
15,70119127,rs77436228,a,0.6712,1.234e-05
2,227067189,rs201810030,a,-0.0895,1.234e-05
2,227067188,rs78859467,t,-0.0895,1.235e-05
1,92608195,rs9661633,t,0.2565,1.239e-05
2,148305764,rs17724539,t,-0.0705,1.24e-05
4,92481535,rs17018621,a,0.096,1.243e-05
6,20632110,rs2328529,t,0.0789,1.247e-05
8,91137875,rs530970263,t,0.0757,1.247e-05
3,12236565,rs71304092,a,-0.1476,1.248e-05
5,122725497,rs7726814,t,0.1136,1.249e-05
2,121444078,rs13023527,a,-0.2124,1.25e-05
20,42873703,rs34620782,t,-0.067,1.254e-05
2,148909497,rs535829314,t,-0.0711,1.254e-05
7,15065797,rs113042771,a,-0.0751,1.256e-05
15,66020614,rs2414886,t,0.0706,1.258e-05
8,34985000,rs117526466,t,-0.4161,1.259e-05
7,15065798,rs34657537,t,0.0751,1.263e-05
10,121860980,rs549488578,t,1.5868,1.264e-05
15,65959729,rs12591647,t,0.0704,1.265e-05
13,33625136,rs9536309,t,-0.0872,1.265e-05
2,148901939,rs181132106,a,-0.0711,1.27e-05
2,148901954,rs186575298,a,-0.0711,1.27e-05
15,77486008,rs17383078,t,0.0667,1.271e-05
13,33625145,rs17643609,a,0.0872,1.274e-05
11,72419514,rs11607038,t,-0.0893,1.278e-05
11,72462375,rs1785212,t,0.0706,1.279e-05
1,66608711,rs530331898,a,-0.5344,1.284e-05
1,92766065,rs17578954,c,-0.2488,1.284e-05
6,31247319,rs12216025,t,-0.0834,1.285e-05
3,66341525,rs34725717,t,0.0665,1.286e-05
6,31248819,rs17198685,t,0.0834,1.287e-05
2,148297472,rs11680551,t,-0.0703,1.287e-05
11,5436279,rs568761096,a,-1.267,1.293e-05
3,185288459,rs4502601,a,-0.0753,1.294e-05
4,92286921,rs4146583,t,0.0753,1.297e-05
4,153511640,rs4696326,t,0.068,1.297e-05
15,65955516,rs8027388,a,0.0758,1.3e-05
17,78874759,rs367834642,a,0.068,1.303e-05
10,25507301,rs117475036,t,0.3199,1.305e-05
